TT/DP/04730/20/01/00035;cash;1130000;;11;2020-01-07
TT/DP/04730/20/01/00036;cash;1130000;;11;2020-01-07
TT/DP/12598/20/01/00046;cash;800000;;11;2020-01-07
TT/DP/12598/20/01/00047;cash;800000;;11;2020-01-07
TT/DP/03538/20/01/00007;kredit_transfer;8000000;;0;2020-01-07
TT/DP/12598/20/01/00048;cash;800000;;11;2020-01-07
TT/DP/12598/20/01/00049;cash;2500000;;11;2020-01-07
TT/DP/13387/20/01/00004;cash;1200000;;11;2020-01-08
TT/DP/12203/20/01/00008;cash;6000000;0;11;2020-01-08
TT/DP/13382/20/01/00026;cash;1200000;;11;2020-01-08
TT/DP/12142/20/01/00025;cash;4000000;;0;2020-01-08
TT/DP/12142/20/01/00026;cash;1500000;;0;2020-01-08
TT/DP/12142/20/01/00027;cash;4250000;;0;2020-01-08
TT/DP/12142/20/01/00028;cash;2000000;;0;2020-01-08
TT/DP/12797/20/01/00031;cash;1000000;;11;0000-00-00
TT/DP/12797/20/01/00032;cash;900000;;11;0000-00-00
TT/DP/03540/20/01/00010;cash;800000;;11;2020-01-08
TT/DP/13381/20/01/00012;cash;2500000;;11;2020-01-08
TT/DP/07719/20/01/00006;cash;1500000;;11;2020-01-08
TT/DP/00675/20/01/00016;cash;1200000;;11;2020-01-08
TT/DP/12598/20/01/00050;cash;800000;;11;2020-01-08
TT/DP/12143/20/01/00022;cash;1700000;;11;2020-01-08
TT/DP/04576/20/01/00007;cash;2575000;;11;2020-01-08
TT/DP/05621/20/01/00013;cash;4000000;;11;2020-01-08
TT/DP/13388/20/01/00014;cash;1200000;0;11;2020-01-08
TT/DP/13387/20/01/00005;cash;2000000;;11;2020-01-08
TT/DP/13384.1/20/01/00003;cash;1300000;;11;2020-01-06
TT/DP/13384.1/20/01/00004;cash;1600000;;11;2020-01-07
TT/DP/13384.1/20/01/00005;cash;2400000;;11;2020-01-04
TT/DP/07781/20/01/00006;cash;900000;;11;2020-01-08
TT/DP/12598/20/01/00051;cash;1200000;;11;2020-01-08
TT/DP/13382.2/20/01/00001;cash;1600000;;11;2020-01-08
TT/DP/12142/20/01/00029;cash;1600000;;0;2020-01-08
TT/DP/12142/20/01/00030;cash;560000;;0;2020-01-08
TT/DP/13388/20/01/00015;cash;1200000;0;11;2020-01-08
TT/DP/01118/20/01/00005;cash;4000000;;11;2020-01-08
TT/DP/05391/20/01/00003;cash;3000000;;11;2020-01-08
TT/DP/12598/20/01/00052;cash;1580000;;11;2020-01-08
TT/DP/12143.1/20/01/00001;cash;1100000;;11;2020-01-08
TT/DP/12144/20/01/00022;cash;2000000;TUNAI;11;2020-01-08
TT/DP/13759/20/01/00011;cash;2500000;-;11;2020-01-08
TT/DP/12143.1/20/01/00002;cash;2300000;;11;2020-01-08
TT/DP/01118/20/01/00006;cash;4000000;;11;2020-01-08
TT/DP/05545/20/01/00019;cash;800000;;0;2020-01-08
TT/DP/13384.5/20/01/00004;cash;1200000;;11;2020-01-08
TT/DP/01118/20/01/00007;cash;1200000;;11;2020-01-08
TT/DP/12598/20/01/00053;cash;6000000;;11;2020-01-08
TT/DP/12144/20/01/00023;cash;1200000;TUNAI;11;2020-01-08
TT/DP/12143/20/01/00023;cash;1600000;;11;2020-01-08
TT/DP/12598/20/01/00054;cash;1200000;;11;2020-01-08
TT/DP/12144/20/01/00024;cash;1100000;TUNAI;11;2020-01-08
TT/DP/06112/20/01/00020;cash;2500000;;11;2020-01-08
TT/DP/13382/20/01/00027;cash;700000;;11;2020-01-08
TT/DP/13384.2/20/01/00005;cash;3500000;cash;11;2020-01-06
TT/DP/13388/20/01/00016;cash;2000000;0;11;2020-01-08
TT/DP/04576/20/01/00008;cash;6000000;;11;2020-01-08
TT/DP/12142.2/20/01/00001;cash;4000000;;0;2020-01-08
TT/DP/12142.2/20/01/00002;cash;1100000;;0;2020-01-08
TT/DP/12142.2/20/01/00003;cash;2000000;;0;2020-01-08
TT/DP/06111/20/01/00005;cash;2000000;;11;2020-01-08
TT/DP/12142.2/20/01/00004;cash;1100000;;0;2020-01-08
TT/DP/12143.1/20/01/00003;cash;1200000;;11;2020-01-08
TT/DP/13382/20/01/00028;cash;800000;;11;0000-00-00
TT/DP/07717/20/01/00017;cash;3400000;;11;2020-01-08
TT/DP/13388/20/01/00017;cash;1200000;0;11;2020-01-08
TT/DP/00888/20/01/00015;;0;;0;0000-00-00
TT/DP/04692/20/01/00015;cash;900000;-;11;2020-01-08
TT/DP/13386/20/01/00024;cash;1130000;;11;2020-01-08
TT/DP/12144/20/01/00025;cash;1900000;TUNAI;11;2020-01-08
TT/DP/05545/20/01/00020;cash;900000;;0;2020-01-08
TT/DP/03573/20/01/00010;cash;1600000;6,04E+13;6;2020-01-08
TT/DP/03573/20/01/00011;cash;1600000;6,04E+13;6;2020-01-08
TT/DP/12598/20/01/00055;cash;2000000;;11;2020-01-08
TT/DP/09673/20/01/00005;cash;2000000;;11;2020-01-08
TT/DP/13386/20/01/00025;cash;2000000;;11;2020-01-08
TT/DP/12144/20/01/00026;cash;1200000;TUNAI;11;2020-01-08
TT/DP/12142/20/01/00031;cash;8560000;;0;2020-01-08
TT/DP/05621/20/01/00014;cash;800000;;11;2020-01-08
TT/DP/13384/20/01/00022;cash;3900000;;11;2020-01-08
TT/DP/13384/20/01/00023;cash;1800000;;11;2020-01-08
TT/DP/00888/20/01/00016;;0;;0;0000-00-00
TT/DP/13384/20/01/00024;cash;800000;cash;11;2020-01-07
TT/DP/04692/20/01/00016;cash;900000;-;11;2020-01-08
TT/DP/13384/20/01/00025;cash;800000;cash;11;2020-01-07
TT/DP/07628/20/01/00053;cash;1200000;-;11;2020-01-08
TT/DP/07628/20/01/00054;cash;1000000;-;11;2020-01-08
TT/DP/12143/20/01/00024;cash;3000000;;11;2020-01-08
TT/DP/03538/20/01/00008;kredit_transfer;200000;;0;2020-01-07
TT/DP/07628/20/01/00055;cash;2000000;-;11;2020-01-08
TT/DP/07628/20/01/00056;cash;2000000;-;11;2020-01-08
TT/DP/13384/20/01/00026;cash;800000;;11;2020-01-08
TT/DP/12598/20/01/00056;cash;1100000;;11;2020-01-08
TT/DP/13388/20/01/00018;cash;3000000;0;11;2020-01-08
TT/DP/13621/20/01/00005;cash;2000000;;11;2020-01-06
TT/DP/13621/20/01/00006;cash;2000000;;11;2020-01-08
TT/DP/13621/20/01/00007;cash;2300000;;11;2020-01-08
TT/DP/13621/20/01/00008;cash;5500000;;11;2020-01-08
TT/DP/13621/20/01/00009;cash;3000000;;11;2020-01-08
TT/DP/12143/20/01/00025;cash;1300000;;11;2020-01-08
TT/DP/06112/20/01/00021;cash;2500000;;11;2020-01-08
TT/DP/12598/20/01/00057;cash;1200000;;11;2020-01-08
